"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611956";"30";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"Um veiculo TOYOTA HILUX SW4 branca 2013/2013 placa OSX 3213. Valor: R$ 140.000,00 (cem e quarenta mil reais). ";"140000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611234";"1";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"50000,00";"31/08/2018";"08:56:48"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611240";"4";"12";"Casa";"#NULO#";"50000,00";"31/08/2018";"08:56:48"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611131";"6";"29";"Outros bens moveis";"#NULO#";"15000,00";"28/08/2018";"18:17:22"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611133";"2";"19";"Outros bens imoveis";"#NULO#";"80000,00";"26/08/2018";"14:24:03"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605097";"2";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"HILUX DE PLACA NQL 1916";"30000,00";"30/08/2018";"16:12:00"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611600";"1";"32";"Quotas ou quinhoes de capital";"#NULO#";"5000,00";"24/08/2018";"16:57:21"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611740";"7";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"30000,00";"28/08/2018";"10:43:21"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611141";"8";"13";"Terreno";"#NULO#";"60000,00";"28/08/2018";"18:20:10"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605117";"18";"32";"Quotas ou quinhoes de capital";"COTAS DE PARTICIPACAO DO CAPITAL SOCIAL DA FIRMA CORPVS SEGURANCA ELETRONICA LTDA";"300000,00";"28/08/2018";"10:11:29"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611956";"10";"12";"Casa";"Uma casa localizada a Rua Irma Bazet 46-A, Bairro Damas, Fortaleza Ceara";"41700,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611956";"27";"61";"Deposito bancario em conta corrente no Pais";"Saldo em conta corrente no Banco do Brasil Ag. 4884-4 ¿ Brasilia-DF";"6767,01";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605117";"59";"45";"Aplicacao de renda fixa (CDB, RDB e outros)";"OUROCAP MENSAL DO BANCO DO BRASIL";"791,02";"28/08/2018";"10:11:29"
